date,time,park,ride,wait
03/05/2022,10:45,magic-kingdom,Peter Pan's Flight,70.0
03/05/2022,10:45,magic-kingdom,Pirates of the Caribbean,
03/05/2022,10:45,magic-kingdom,Prince Charming Regal Carrousel,15.0
03/05/2022,10:45,magic-kingdom,Seven Dwarfs Mine Train,90.0
03/05/2022,10:45,magic-kingdom,Space Mountain,45.0
03/05/2022,10:45,magic-kingdom,Splash Mountain,
03/05/2022,10:45,magic-kingdom,Tomorrowland Speedway,15.0
03/05/2022,10:45,magic-kingdom,Tomorrowland Transit Authority PeopleMover,0.0
03/05/2022,10:45,magic-kingdom,Under the Sea ~ Journey of The Little Mermaid,30.0
03/05/2022,10:45,epcot,Frozen Ever After,45.0
03/05/2022,10:45,epcot,Gran Fiesta Tour,5.0
03/05/2022,10:45,epcot,Journey Into Imagination With Figment,5.0
03/05/2022,10:45,epcot,Living with the Land,15.0
03/05/2022,10:45,epcot,Mission: SPACE,10.0
03/05/2022,10:45,epcot,Remy's Ratatouille Adventure,55.0
03/05/2022,10:45,epcot,The Seas with Nemo & Friends,5.0
03/05/2022,10:45,epcot,Soarin' Around the World,45.0
03/05/2022,10:45,epcot,Spaceship Earth,25.0
03/05/2022,10:45,epcot,Test Track,55.0
03/05/2022,10:45,hollywood-studios,Alien Swirling Saucers,30.0
03/05/2022,10:45,hollywood-studios,Mickey & Minnie's Runaway Railway,50.0
03/05/2022,10:45,hollywood-studios,Millennium Falcon: Smugglers Run,55.0
03/05/2022,10:45,hollywood-studios,Muppet*Vision 3D,10.0
03/05/2022,10:45,hollywood-studios,Rock 'n' Roller Coaster Starring Aerosmith,60.0
03/05/2022,10:45,hollywood-studios,Slinky Dog Dash,80.0
03/05/2022,10:45,hollywood-studios,Star Tours – The Adventures Continue,20.0
03/05/2022,10:45,hollywood-studios,Star Wars: Rise of the Resistance,140.0
03/05/2022,10:45,hollywood-studios,Toy Story Mania!,50.0
03/05/2022,10:45,hollywood-studios,The Twilight Zone Tower of Terror,85.0
03/05/2022,10:45,animal-kingdom,Avatar Flight of Passage,75.0
03/05/2022,10:45,animal-kingdom,DINOSAUR,45.0
03/05/2022,10:45,animal-kingdom,Expedition Everest,
03/05/2022,10:45,animal-kingdom,It's Tough to be a Bug!,15.0
03/05/2022,10:45,animal-kingdom,Kali River Rapids,10.0
03/05/2022,10:45,animal-kingdom,Kilimanjaro Safaris,20.0
03/05/2022,10:45,animal-kingdom,Na'vi River Journey,90.0
03/05/2022,10:45,animal-kingdom,TriceraTop Spin,10.0
03/05/2022,10:50,magic-kingdom,Astro Orbiter,40.0
03/05/2022,10:50,magic-kingdom,The Barnstormer,25.0
03/05/2022,10:50,magic-kingdom,Big Thunder Mountain Railroad,65.0
03/05/2022,10:50,magic-kingdom,Buzz Lightyear's Space Ranger Spin,45.0
03/05/2022,10:50,magic-kingdom,Dumbo the Flying Elephant,30.0
03/05/2022,10:50,magic-kingdom,Haunted Mansion,50.0
03/05/2022,10:50,magic-kingdom,"""it's a small world""",40.0
03/05/2022,10:50,magic-kingdom,Jungle Cruise,95.0
03/05/2022,10:50,magic-kingdom,Mad Tea Party,10.0
03/05/2022,10:50,magic-kingdom,The Magic Carpets of Aladdin,45.0
03/05/2022,10:50,magic-kingdom,The Many Adventures of Winnie the Pooh,50.0
03/05/2022,10:50,magic-kingdom,Mickey's PhilharMagic,15.0
03/05/2022,10:50,magic-kingdom,Monsters Inc. Laugh Floor,5.0
03/05/2022,10:50,magic-kingdom,Peter Pan's Flight,65.0
03/05/2022,10:50,magic-kingdom,Pirates of the Caribbean,
03/05/2022,10:50,magic-kingdom,Prince Charming Regal Carrousel,25.0
03/05/2022,10:50,magic-kingdom,Seven Dwarfs Mine Train,90.0
03/05/2022,10:50,magic-kingdom,Space Mountain,45.0
03/05/2022,10:50,magic-kingdom,Splash Mountain,
03/05/2022,10:50,magic-kingdom,Tomorrowland Speedway,20.0
03/05/2022,10:50,magic-kingdom,Tomorrowland Transit Authority PeopleMover,0.0
03/05/2022,10:50,magic-kingdom,Under the Sea ~ Journey of The Little Mermaid,30.0
03/05/2022,10:50,epcot,Frozen Ever After,45.0
03/05/2022,10:50,epcot,Gran Fiesta Tour,5.0
03/05/2022,10:50,epcot,Journey Into Imagination With Figment,5.0
03/05/2022,10:50,epcot,Living with the Land,15.0
03/05/2022,10:50,epcot,Mission: SPACE,10.0
03/05/2022,10:50,epcot,Remy's Ratatouille Adventure,55.0
03/05/2022,10:50,epcot,The Seas with Nemo & Friends,5.0
03/05/2022,10:50,epcot,Soarin' Around the World,50.0
03/05/2022,10:50,epcot,Spaceship Earth,25.0
03/05/2022,10:50,epcot,Test Track,55.0
03/05/2022,10:50,hollywood-studios,Alien Swirling Saucers,30.0
03/05/2022,10:50,hollywood-studios,Mickey & Minnie's Runaway Railway,50.0
03/05/2022,10:50,hollywood-studios,Millennium Falcon: Smugglers Run,60.0
03/05/2022,10:50,hollywood-studios,Muppet*Vision 3D,10.0
03/05/2022,10:50,hollywood-studios,Rock 'n' Roller Coaster Starring Aerosmith,60.0
03/05/2022,10:50,hollywood-studios,Slinky Dog Dash,80.0
03/05/2022,10:50,hollywood-studios,Star Tours – The Adventures Continue,20.0
03/05/2022,10:50,hollywood-studios,Star Wars: Rise of the Resistance,140.0
03/05/2022,10:50,hollywood-studios,Toy Story Mania!,50.0
03/05/2022,10:50,hollywood-studios,The Twilight Zone Tower of Terror,85.0
03/05/2022,10:50,animal-kingdom,Avatar Flight of Passage,85.0
03/05/2022,10:50,animal-kingdom,DINOSAUR,45.0
03/05/2022,10:50,animal-kingdom,Expedition Everest,
03/05/2022,10:50,animal-kingdom,It's Tough to be a Bug!,15.0
03/05/2022,10:50,animal-kingdom,Kali River Rapids,10.0
03/05/2022,10:50,animal-kingdom,Kilimanjaro Safaris,20.0
03/05/2022,10:50,animal-kingdom,Na'vi River Journey,85.0
03/05/2022,10:50,animal-kingdom,TriceraTop Spin,10.0
03/05/2022,10:56,magic-kingdom,Astro Orbiter,40.0
03/05/2022,10:56,magic-kingdom,The Barnstormer,30.0
03/05/2022,10:56,magic-kingdom,Big Thunder Mountain Railroad,65.0
